rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward
20.32,0.0,0.89,1664,459,45670,99,,
20.57,0.0,0.91,1668,460,45756,99,,
20.78,0.0,0.93,1672,460,45864,99,,
20.77,0.0,0.96,1676,461,45948,99,,
20.44,0.0,0.9,1680,462,46017,99,,
20.47,0.0,0.88,1684,463,46111,99,,
20.48,0.0,0.84,1688,463,46187,99,,
20.48,0.0,0.85,1692,464,46261,99,,
20.55,0.0,0.87,1696,465,46341,99,,
21.12,0.0,0.94,1700,466,46462,99,,
21.42,0.0,0.97,1704,467,46574,99,,
21.37,0.0,0.94,1708,468,46641,99,,
21.28,0.0,0.95,1712,469,46704,99,,
21.03,0.0,0.92,1716,470,46777,99,,
20.99,0.0,0.95,1720,471,46860,99,,
21.58,0.0,1.03,1724,472,46974,99,,
21.1,0.0,1.02,1728,473,47063,99,,
20.51,0.0,0.96,1732,473,47121,99,,
20.79,0.0,0.99,1736,474,47196,99,,
20.74,0.0,0.98,1740,475,47252,99,,
20.75,0.0,0.98,1744,475,47329,99,,
20.61,0.0,0.94,1748,476,47429,99,,
20.92,0.0,1.0,1752,477,47528,99,,
20.93,0.0,1.03,1756,478,47602,99,,
21.17,0.0,1.06,1760,479,47698,99,,
21.16,0.0,1.02,1764,480,47786,99,,
21.14,0.0,1.01,1768,480,47870,99,,
20.73,0.0,0.98,1772,481,47937,99,,
20.65,0.0,0.95,1776,482,48013,99,,
20.85,0.0,0.98,1780,483,48102,99,,
21.05,0.0,0.99,1784,484,48216,99,,
21.42,0.0,1.06,1788,486,48329,99,,
21.27,0.0,1.03,1792,486,48388,99,,
21.4,0.0,1.04,1796,487,48481,99,,
21.39,0.0,1.0,1800,489,48601,99,,
21.06,0.0,0.95,1804,489,48680,99,,
21.07,0.0,0.97,1808,490,48748,99,,
21.49,0.0,0.99,1812,491,48853,99,,
21.4,0.0,0.97,1816,491,48917,99,,
21.26,0.0,0.93,1820,492,48986,99,,
21.3,0.0,0.93,1824,493,49104,99,,
21.01,0.0,0.88,1828,494,49164,99,,
21.25,0.0,0.91,1832,494,49246,99,,
21.52,0.0,0.93,1836,495,49348,99,,
22.4,0.0,0.99,1840,497,49492,99,,
22.49,0.0,0.99,1844,498,49578,99,,
22.06,0.0,0.96,1848,498,49635,99,,
21.77,0.0,0.92,1852,499,49705,99,,
22.53,0.0,0.98,1856,501,49855,99,,
22.43,0.0,0.96,1860,502,49941,99,,
,0.0,,,,50000,,15.0,0.25
22.83,0.0,1.01,1864,504,50069,99,,
23.03,0.0,1.06,1868,505,50173,99,,
23.19,0.0,1.09,1872,506,50256,99,,
23.74,0.0,1.14,1876,507,50387,99,,
23.59,0.0,1.09,1880,508,50461,99,,
23.08,0.0,1.04,1884,508,50524,99,,
23.3,0.0,1.01,1888,510,50659,99,,
23.37,0.0,1.03,1892,510,50725,99,,
23.7,0.0,1.09,1896,511,50851,99,,
23.08,0.0,1.04,1900,512,50909,99,,
22.85,0.0,1.01,1904,512,50965,99,,
22.92,0.0,1.03,1908,513,51040,99,,
22.86,0.0,1.02,1912,515,51139,99,,
23.21,0.0,1.07,1916,516,51238,99,,
23.14,0.0,1.05,1920,517,51300,99,,
23.25,0.0,1.03,1924,518,51429,99,,
23.37,0.0,1.06,1928,519,51501,99,,
23.58,0.0,1.12,1932,520,51604,99,,
24.06,0.0,1.15,1936,521,51754,99,,
23.57,0.0,1.13,1940,522,51849,99,,
23.47,0.0,1.12,1944,522,51925,99,,
23.73,0.0,1.13,1948,523,52008,99,,
24.38,0.0,1.17,1952,524,52143,99,,
24.43,0.0,1.18,1956,526,52298,99,,
24.25,0.0,1.16,1960,526,52366,99,,
23.92,0.0,1.12,1964,528,52461,99,,
23.94,0.0,1.12,1968,529,52567,99,,
23.72,0.0,1.11,1972,530,52628,99,,
23.28,0.0,1.07,1976,531,52715,99,,
23.3,0.0,1.09,1980,532,52791,99,,
23.37,0.0,1.12,1984,532,52861,99,,
23.33,0.0,1.15,1988,534,52992,99,,
23.86,0.0,1.19,1992,535,53111,99,,
23.36,0.0,1.12,1996,535,53187,99,,
23.49,0.0,1.14,2000,536,53258,99,,
23.9,0.0,1.19,2004,537,53355,99,,
24.06,0.0,1.17,2008,538,53446,99,,
23.78,0.0,1.14,2012,538,53517,99,,
23.75,0.0,1.12,2016,539,53613,99,,
23.91,0.0,1.13,2020,540,53691,99,,
23.57,0.0,1.1,2024,541,53786,99,,
23.61,0.0,1.09,2028,542,53862,99,,
23.62,0.0,1.05,2032,543,53966,99,,
22.68,0.0,0.98,2036,544,54022,99,,
22.61,0.0,0.96,2040,545,54110,99,,
22.72,0.0,0.99,2044,546,54197,99,,
22.58,0.0,0.99,2048,547,54266,99,,
22.25,0.0,0.97,2052,547,54368,99,,
21.29,0.0,0.86,2056,548,54427,99,,
21.45,0.0,0.86,2060,549,54511,99,,
21.55,0.0,0.89,2064,550,54616,99,,
21.22,0.0,0.85,2068,550,54689,99,,
21.3,0.0,0.85,2072,551,54758,99,,
21.39,0.0,0.86,2076,552,54854,99,,
21.76,0.0,0.86,2080,553,54967,99,,
21.96,0.0,0.85,2084,554,55057,99,,
21.89,0.0,0.83,2088,555,55181,99,,
21.48,0.0,0.8,2092,556,55259,99,,
21.31,0.0,0.77,2096,557,55318,99,,
21.23,0.0,0.79,2100,557,55381,99,,
20.98,0.0,0.76,2104,558,55453,99,,
20.97,0.0,0.79,2108,560,55543,99,,
21.5,0.0,0.88,2112,561,55667,99,,
21.28,0.0,0.87,2116,562,55741,99,,
21.38,0.0,0.9,2120,563,55829,99,,
21.02,0.0,0.88,2124,563,55888,99,,
20.97,0.0,0.87,2128,564,55959,99,,
21.27,0.0,0.88,2132,565,56093,99,,
21.62,0.0,0.9,2136,566,56184,99,,
21.44,0.0,0.9,2140,567,56254,99,,
21.23,0.0,0.86,2144,567,56320,99,,
21.11,0.0,0.85,2148,568,56377,99,,
20.9,0.0,0.8,2152,569,56458,99,,
20.96,0.0,0.83,2156,569,56523,99,,
20.85,0.0,0.82,2160,570,56596,99,,
20.85,0.0,0.79,2164,571,56701,99,,
20.91,0.0,0.79,2168,572,56780,99,,
21.6,0.0,0.85,2172,574,56918,99,,
21.67,0.0,0.87,2176,575,57021,99,,
21.46,0.0,0.92,2180,576,57113,99,,
21.53,0.0,0.95,2184,577,57210,99,,
21.6,0.0,0.97,2188,578,57341,99,,
21.65,0.0,0.97,2192,579,57424,99,,
21.97,0.0,1.03,2196,580,57515,99,,
22.0,0.0,1.02,2200,580,57581,99,,
21.94,0.0,1.01,2204,581,57647,99,,
22.06,0.0,1.02,2208,582,57749,99,,
21.84,0.0,0.99,2212,583,57851,99,,
22.06,0.0,1.02,2216,584,57947,99,,
22.12,0.0,1.0,2220,585,58041,99,,
22.46,0.0,1.03,2224,585,58134,99,,
22.62,0.0,1.05,2228,586,58221,99,,
21.89,0.0,1.0,2232,587,58282,99,,
22.27,0.0,1.02,2236,589,58411,99,,
22.53,0.0,1.07,2240,590,58507,99,,
22.62,0.0,1.12,2244,591,58582,99,,
23.01,0.0,1.16,2248,592,58678,99,,
22.91,0.0,1.18,2252,593,58749,99,,
22.92,0.0,1.17,2256,593,58815,99,,
23.0,0.0,1.21,2260,594,58896,99,,
22.84,0.0,1.23,2264,595,58985,99,,
22.95,0.0,1.25,2268,596,59075,99,,
22.58,0.0,1.2,2272,597,59176,99,,
