time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
1576,107,0.0,597,64087,31.51,1.33,,
1580,107,0.0,598,64229,31.81,1.36,,
1584,107,0.0,599,64339,31.36,1.31,,
1588,107,0.0,600,64430,31.53,1.31,,
1592,107,0.0,602,64590,31.84,1.3,,
1596,107,0.0,603,64690,31.49,1.28,,
1600,107,0.0,606,64915,32.7,1.41,,
1604,107,0.0,607,65046,33.4,1.47,,
1608,107,0.0,608,65188,32.8,1.48,,
1612,107,0.0,609,65367,33.32,1.54,,
1616,107,0.0,611,65525,34.11,1.57,,
1620,107,0.0,612,65688,34.98,1.65,,
1624,107,0.0,614,65884,36.13,1.74,,
1628,107,0.0,614,65970,35.75,1.73,,
1632,107,0.0,615,66057,35.07,1.69,,
1636,107,0.0,617,66151,35.28,1.71,,
1640,107,0.0,618,66221,34.95,1.67,,
1644,107,0.0,619,66346,34.52,1.63,,
1648,107,0.0,621,66512,33.66,1.59,,
1652,107,0.0,622,66660,33.42,1.6,,
1656,107,0.0,623,66825,33.55,1.61,,
1660,107,0.0,624,66970,33.65,1.63,,
1664,107,0.0,627,67269,35.23,1.73,,
1668,107,0.0,629,67530,37.17,1.87,,
1672,107,0.0,632,67789,37.87,1.9,,
1676,107,0.0,633,67853,37.66,1.89,,
1680,107,0.0,635,68063,38.34,1.98,,
1684,107,0.0,637,68299,39.6,2.05,,
1688,107,0.0,638,68393,39.63,2.04,,
1692,107,0.0,639,68568,39.78,2.11,,
1696,107,0.0,641,68796,41.06,2.17,,
1700,107,0.0,643,68957,40.42,2.09,,
1704,107,0.0,644,69179,41.33,2.12,,
1708,107,0.0,646,69354,41.66,2.12,,
1712,107,0.0,648,69445,40.78,2.05,,
1716,107,0.0,650,69699,41.74,2.11,,
1720,107,0.0,653,69964,42.76,2.16,,
1724,106,0.0,657,70143,42.59,2.12,,
1728,106,0.0,659,70358,43.88,2.19,,
1732,106,0.0,660,70514,44.57,2.24,,
1736,106,0.0,664,70777,46.26,2.38,,
1740,106,0.0,666,70944,47.23,2.45,,
1744,106,0.0,668,71159,48.13,2.52,,
1748,106,0.0,670,71394,48.82,2.5,,
1752,106,0.0,672,71665,50.05,2.59,,
1756,106,0.0,673,71848,50.23,2.63,,
1760,106,0.0,675,72000,50.3,2.61,,
1764,106,0.0,677,72197,49.28,2.55,,
1768,106,0.0,679,72378,48.48,2.53,,
1772,106,0.0,681,72599,48.1,2.5,,
1776,106,0.0,682,72747,48.94,2.55,,
1780,106,0.0,684,72905,48.42,2.5,,
1784,106,0.0,685,73100,48.01,2.5,,
1788,106,0.0,687,73259,48.66,2.56,,
1792,106,0.0,688,73441,48.73,2.52,,
1796,106,0.0,689,73577,47.81,2.49,,
1800,106,0.0,691,73755,47.98,2.49,,
1804,106,0.0,692,73859,46.8,2.45,,
1808,106,0.0,695,74044,46.9,2.47,,
1812,106,0.0,696,74233,47.88,2.55,,
1816,106,0.0,698,74405,47.06,2.53,,
1820,106,0.0,699,74580,46.16,2.46,,
1824,106,0.0,701,74811,46.68,2.51,,
,,0.0,,75000,,,50.0,2.25
1828,106,0.0,704,75069,47.11,2.49,,
1832,106,0.0,707,75281,47.67,2.55,,
1836,106,0.0,709,75516,47.39,2.5,,
1840,106,0.0,712,75818,48.74,2.57,,
1844,106,0.0,714,76021,48.62,2.56,,
1848,106,0.0,716,76231,48.37,2.59,,
1852,106,0.0,717,76439,47.74,2.55,,
1856,106,0.0,719,76697,48.49,2.58,,
1860,106,0.0,721,76873,48.73,2.6,,
1864,106,0.0,724,77096,48.99,2.62,,
1868,106,0.0,726,77269,48.91,2.56,,
1872,106,0.0,727,77460,48.61,2.55,,
1876,106,0.0,729,77613,48.66,2.55,,
1880,106,0.0,731,77891,49.86,2.61,,
1884,106,0.0,733,78067,49.67,2.61,,
1888,106,0.0,735,78358,50.99,2.66,,
1892,106,0.0,738,78663,52.22,2.75,,
1896,106,0.0,741,78903,53.26,2.81,,
1900,106,0.0,743,79209,54.54,2.89,,
1904,106,0.0,745,79385,55.26,2.9,,
1908,106,0.0,746,79549,55.05,2.88,,
1912,106,0.0,748,79808,55.75,2.92,,
1916,106,0.0,754,80046,56.41,2.95,,
1920,106,0.0,756,80323,57.43,3.04,,
1924,106,0.0,759,80634,58.23,3.1,,
1928,106,0.0,761,80897,58.28,3.14,,
1932,106,0.0,764,81259,59.78,3.24,,
1936,106,0.0,768,81525,60.09,3.26,,
1940,106,0.0,770,81723,59.05,3.19,,
1944,106,0.0,772,82023,60.02,3.25,,
1948,106,0.0,774,82258,60.27,3.26,,
1952,106,0.0,776,82525,60.86,3.27,,
1956,106,0.0,778,82735,60.38,3.22,,
1960,106,0.0,779,82877,60.04,3.18,,
1964,106,0.0,783,83181,60.85,3.19,,
1968,106,0.0,785,83392,61.23,3.24,,
1972,106,0.0,787,83606,61.46,3.24,,
1976,106,0.0,789,83797,61.84,3.28,,
1980,106,0.0,790,84014,61.23,3.26,,
1984,106,0.0,793,84288,62.21,3.28,,
1988,106,0.0,794,84462,61.04,3.24,,
1992,106,0.0,797,84733,60.7,3.22,,
1996,106,0.0,801,85146,62.43,3.35,,
2000,106,0.0,803,85359,61.5,3.31,,
2004,106,0.0,805,85545,61.6,3.31,,
2008,106,0.0,807,85831,62.82,3.43,,
2012,106,0.0,809,86094,62.86,3.41,,
2016,106,0.0,812,86345,62.99,3.38,,
2020,106,0.0,815,86532,62.09,3.32,,
2024,106,0.0,817,86842,62.08,3.33,,
2028,106,0.0,820,87161,62.64,3.4,,
2032,106,0.0,822,87455,61.96,3.34,,
2036,106,0.0,825,87754,62.29,3.41,,
2040,106,0.0,828,88049,63.26,3.53,,
2044,106,0.0,831,88347,63.24,3.55,,
2048,106,0.0,834,88689,64.31,3.63,,
2052,106,0.0,836,88988,64.63,3.67,,
2056,106,0.0,838,89182,64.47,3.7,,
2060,106,0.0,840,89374,64.97,3.76,,
2064,106,0.0,842,89567,63.86,3.72,,
2068,106,0.0,844,89783,63.91,3.71,,
2072,105,0.0,852,90152,65.46,3.87,,
2076,105,0.0,853,90336,65.39,3.86,,
2080,105,0.0,855,90490,64.76,3.81,,
2084,105,0.0,858,90688,64.0,3.81,,
2088,105,0.0,860,90890,64.28,3.83,,
2092,105,0.0,862,91092,63.59,3.8,,
2096,105,0.0,863,91250,61.04,3.64,,
2100,105,0.0,865,91511,61.52,3.66,,
2104,105,0.0,867,91728,61.83,3.72,,
2108,105,0.0,869,91960,61.29,3.64,,
2112,105,0.0,871,92110,60.16,3.62,,
